# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
14	Part_1_5	Part_1_5	OpenFOAM-forces	4.338216	0.13941117	0.02	0.17453293	-0.2629992	-0.12998137	-0.067777165	-0.29507284	-0.22902966	-0.13065468	-0.10055452	-0.12386884	-0.063422178
14	Part_1_4	Part_1_4	OpenFOAM-forces	4.6868133	0.14591933	0.02	0.17453293	-0.26547227	0.097622146	-0.11735682	-0.29740974	-0.23155714	0.093164349	0.15349117	-0.11904167	-0.08855642
14	Part_1_1	Part_1_1	OpenFOAM-forces	3.1620918	0.2071669	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
14	Part_1_2	Part_1_2	OpenFOAM-forces	26.229808	0.039127574	0.02	0.17453293	-0.36285198	-0.02574498	-0.0057316507	-0.37152828	-0.35508427	-0.058314026	0.017175532	-0.044734452	0.031195316
14	Part_1_3	Part_1_3	OpenFOAM-forces	4.4460214	0.14092658	0.02	0.17453293	-0.26392595	0.15351288	0.1093386	-0.29590469	-0.23017278	0.12435785	0.15462429	0.10524002	0.16535175
14	Part_1_6	Part_1_6	OpenFOAM-forces	3.9912837	0.14418212	0.02	0.17453293	-0.26410734	-0.076137827	0.16128699	-0.29619234	-0.230266	-0.13162048	-0.071336858	0.13214286	0.16217507
15	Part_1_5	Part_1_5	OpenFOAM-forces	3.8285683	0.1574059	0.02	0.17453293	-0.28227826	-0.14398619	-0.042790305	-0.31431489	-0.24849234	-0.1491179	-0.11716434	-0.10020594	-0.042382886
15	Part_1_4	Part_1_4	OpenFOAM-forces	4.0858567	0.14364078	0.02	0.17453293	-0.28471312	0.072208795	-0.13141232	-0.31661776	-0.25102172	0.071719539	0.12942711	-0.13762933	-0.10527067
15	Part_1_1	Part_1_1	OpenFOAM-forces	2.5121572	0.19569424	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
15	Part_1_2	Part_1_2	OpenFOAM-forces	27.317959	0.040233351	0.02	0.17453293	-0.38242058	-0.033128156	-0.0019231631	-0.39124228	-0.37454154	-0.06545268	0.0098927172	-0.042153236	0.033843625
15	Part_1_3	Part_1_3	OpenFOAM-forces	4.275202	0.14777098	0.02	0.17453293	-0.28319226	0.16736326	0.08369705	-0.31515297	-0.2497012	0.14085143	0.17300092	0.083593525	0.14100799
15	Part_1_6	Part_1_6	OpenFOAM-forces	4.7357815	0.14373283	0.02	0.17453293	-0.28342139	-0.051118027	0.17493663	-0.31549281	-0.24979688	-0.10782862	-0.050218063	0.14836669	0.18022695
16	Part_1_5	Part_1_5	OpenFOAM-forces	4.0733219	0.14482082	0.02	0.17453293	-0.30168794	-0.15375249	-0.014455197	-0.33370615	-0.26809588	-0.16469294	-0.1306669	-0.071724185	-0.018255844
16	Part_1_4	Part_1_4	OpenFOAM-forces	4.9405509	0.1321038	0.02	0.17453293	-0.30384728	0.043281038	-0.1416953	-0.33574145	-0.2704006	0.047117965	0.10046547	-0.1538058	-0.11935202
16	Part_1_1	Part_1_1	OpenFOAM-forces	3.4678943	0.19786328	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
16	Part_1_2	Part_1_2	OpenFOAM-forces	26.892141	0.040108869	0.02	0.17453293	-0.40197549	-0.039844002	0.0025722351	-0.41090605	-0.39399605	-0.072217341	0.0030282656	-0.038882456	0.03713504
16	Part_1_3	Part_1_3	OpenFOAM-forces	4.3290672	0.14478869	0.02	0.17453293	-0.30245623	0.17707961	0.054652881	-0.33442724	-0.2692331	0.15434715	0.18860855	0.058824949	0.1118193
16	Part_1_6	Part_1_6	OpenFOAM-forces	3.9742888	0.1413017	0.02	0.17453293	-0.30270828	-0.023198252	0.18447027	-0.33478656	-0.26930268	-0.079683341	-0.026480114	0.16151786	0.1954329
17	Part_1_5	Part_1_5	OpenFOAM-forces	4.6692025	0.13060131	0.02	0.17453293	-0.32106399	-0.15899166	0.016510428	-0.35308281	-0.28767335	-0.17778562	-0.13996127	-0.039148441	0.0083667327
17	Part_1_4	Part_1_4	OpenFOAM-forces	3.3142297	0.12840706	0.02	0.17453293	-0.32303718	0.012139523	-0.1466038	-0.35494049	-0.28984221	0.020294525	0.067690206	-0.16618055	-0.12868776
17	Part_1_1	Part_1_1	OpenFOAM-forces	2.78453	0.18421035	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
17	Part_1_2	Part_1_2	OpenFOAM-forces	26.222792	0.041648451	0.02	0.17453293	-0.42150567	-0.045937571	0.0072412164	-0.43050079	-0.41343146	-0.078656719	-0.0034676238	-0.035364465	0.040631318
17	Part_1_3	Part_1_3	OpenFOAM-forces	4.0503414	0.12559585	0.02	0.17453293	-0.3217208	0.1816915	0.023215624	-0.35372369	-0.28877538	0.16324926	0.2008663	0.03171702	0.078695395
17	Part_1_6	Part_1_6	OpenFOAM-forces	3.7430107	0.14535991	0.02	0.17453293	-0.32198858	0.0069997854	0.18922567	-0.35409481	-0.28880286	-0.047752785	-0.00055888718	0.17004182	0.20796264
18	Part_1_5	Part_1_5	OpenFOAM-forces	3.1031451	0.13209939	0.02	0.17453293	-0.34036573	-0.15884405	0.048390502	-0.37239955	-0.30717529	-0.18652811	-0.14183575	-0.006351267	0.036354679
18	Part_1_4	Part_1_4	OpenFOAM-forces	3.7897141	0.12959264	0.02	0.17453293	-0.34219325	-0.020440541	-0.14594864	-0.37412962	-0.30926373	-0.0084273146	0.034168861	-0.17449997	-0.13019583
18	Part_1_1	Part_1_1	OpenFOAM-forces	3.3786674	0.19011117	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
18	Part_1_2	Part_1_2	OpenFOAM-forces	26.654576	0.045438364	0.02	0.17453293	-0.441098	-0.05113523	0.012467226	-0.45006405	-0.43296829	-0.084507752	-0.0093244466	-0.031208987	0.04475307
18	Part_1_3	Part_1_3	OpenFOAM-forces	3.3980758	0.13126519	0.02	0.17453293	-0.34103002	0.18036996	-0.0094303399	-0.37308646	-0.30837829	0.16408227	0.20846906	0.0028931958	0.045006568
18	Part_1_6	Part_1_6	OpenFOAM-forces	3.5158343	0.1309404	0.02	0.17453293	-0.34121455	0.038424539	0.18877662	-0.37336668	-0.30824985	-0.015333118	0.026981942	0.17146079	0.21624892
19	Part_1_5	Part_1_5	OpenFOAM-forces	3.3184202	0.12796871	0.02	0.17453293	-0.35969491	-0.15287263	0.080337397	-0.39175909	-0.32668988	-0.1888955	-0.13803222	0.027394188	0.065912074
19	Part_1_4	Part_1_4	OpenFOAM-forces	3.8256307	0.12959477	0.02	0.17453293	-0.36141442	-0.05340692	-0.13912731	-0.39340309	-0.32874223	-0.039074874	-0.00066349021	-0.17615822	-0.12573336
19	Part_1_1	Part_1_1	OpenFOAM-forces	3.3091662	0.19157353	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
19	Part_1_2	Part_1_2	OpenFOAM-forces	25.670874	0.045455823	0.02	0.17453293	-0.4607345	-0.055539437	0.018025813	-0.46960748	-0.45256727	-0.089822723	-0.014607318	-0.026607275	0.049390365
19	Part_1_3	Part_1_3	OpenFOAM-forces	3.2380156	0.12321885	0.02	0.17453293	-0.36038851	0.17250385	-0.041282588	-0.39251754	-0.32800297	0.15838661	0.20884209	-0.026775723	0.01110061
19	Part_1_6	Part_1_6	OpenFOAM-forces	4.5537984	0.13273568	0.02	0.17453293	-0.36034253	0.070987332	0.183098	-0.3925635	-0.32759834	0.018965989	0.057005038	0.16797661	0.21890129
